Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
26R1567,407816,427486,2,27/06/2015,2010,3,A629,1,1,1,Calderdale,2,3,2,34,1,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,1,2,1,38,2,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,2,2,1,19,2,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,2,2,1,35,2,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,1,2,1,22,1,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,2,2,1,20,1,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,2,2,1,19,1,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,2,2,1,17,1,9
26R1676,416858,422084,2,27/06/2015,2050,3,A644,1,4,1,Calderdale,2,2,1,19,1,9
26S1699,401241,426039,1,28/06/2015,2050,3,A646,1,1,1,Calderdale,3,3,1,42,1,9
26S1829,407960,424543,3,28/06/2015,2245,6,U,1,4,1,Calderdale,2,1,2,16,1,9
26S1829,407960,424543,3,28/06/2015,2245,6,U,1,4,1,Calderdale,2,3,2,28,1,9
26S1829,407960,424543,3,28/06/2015,2245,6,U,1,4,1,Calderdale,1,2,2,22,1,9
26U0560,409761,422829,1,30/06/2015,1050,3,A629,1,1,1,Calderdale,1,3,1,46,1,3
26U0723,406632,424812,2,30/06/2015,735,3,A646,1,1,1,Calderdale,2,3,2,50,2,9
26U0723,406632,424812,2,30/06/2015,735,3,A646,1,1,1,Calderdale,1,3,1,57,1,9
26U0723,406632,424812,2,30/06/2015,735,3,A646,1,1,1,Calderdale,1,3,2,47,2,9
2710723,399792,426794,1,01/07/2015,1228,3,A646,1,1,1,Calderdale,3,3,2,86,1,21
2711207,407779,425899,1,01/07/2015,1645,6,U,1,1,1,Calderdale,1,3,1,32,1,3
2711277,393493,421893,2,01/07/2015,1715,3,A6033,1,1,1,Calderdale,2,3,1,9,1,9
2721434,414270,422902,2,02/07/2015,1900,3,A644,1,1,1,Calderdale,1,3,1,35,2,1
2721663,410615,420821,2,02/07/2015,2055,6,U,1,1,1,Calderdale,1,3,1,46,1,9
2721663,410615,420821,2,02/07/2015,2055,6,U,1,1,1,Calderdale,1,2,1,49,2,9
2730271,414696,422824,2,03/07/2015,705,3,A641,1,1,1,Calderdale,1,3,2,21,2,4
2730614,399289,427148,1,03/07/2015,1155,3,A646,1,1,1,Calderdale,3,2,1,41,1,9
2751243,415880,425096,2,05/07/2015,1755,3,A649,1,1,1,Calderdale,2,2,2,51,2,9
2751243,415880,425096,2,05/07/2015,1755,3,A649,1,1,1,Calderdale,1,3,1,62,2,9
2751243,415880,425096,2,05/07/2015,1755,3,A649,1,1,1,Calderdale,1,3,2,44,1,9
2761089,393683,424340,1,06/07/2015,1541,6,U,1,1,1,Calderdale,3,3,2,7,1,9
2770190,414567,422996,1,07/07/2015,1535,6,U,1,1,1,Calderdale,1,3,2,56,1,9
2771706,414821,422949,2,07/07/2015,2230,3,A641,2,4,1,Calderdale,1,2,2,48,1,9
2771706,414821,422949,2,07/07/2015,2230,3,A641,2,4,1,Calderdale,2,2,1,30,1,9
2771706,414821,422949,2,07/07/2015,2230,3,A641,2,4,1,Calderdale,1,2,1,33,2,9
2780838,414767,422932,1,08/07/2015,0,6,U,2,1,2,Calderdale,3,3,2,14,1,9
2781471,409559,423351,1,08/07/2015,1958,3,A629,1,1,1,Calderdale,3,2,1,8,1,9
27A0336,407377,425467,1,03/07/2015,1250,6,U,1,1,1,Calderdale,3,3,2,42,1,21
27A0697,406606,428225,2,10/07/2015,1150,6,U,1,1,1,Calderdale,1,3,1,21,2,1
27A0917,411834,422423,3,10/07/2015,1358,3,A6025,1,1,1,Calderdale,1,3,2,55,1,9
27A0917,411834,422423,3,10/07/2015,1358,3,A6025,1,1,1,Calderdale,1,3,2,45,3,9
27C0632,416473,422063,2,12/07/2015,1114,3,A644,1,1,1,Calderdale,1,3,1,65,1,9
27D0218,407166,424465,2,13/07/2015,1517,3,A646,1,1,1,Calderdale,1,3,1,37,1,9
27D0218,407166,424465,2,13/07/2015,1517,3,A646,1,1,1,Calderdale,1,2,2,65,2,9
27D1112,416649,422313,2,13/07/2015,1635,1,M62,1,1,1,Calderdale,1,3,2,47,2,9
2.70E+136,407302,425892,2,14/07/2015,1327,6,U,1,1,1,Calderdale,1,3,2,25,1,9
2.70E+136,407302,425892,2,14/07/2015,1327,6,U,1,1,1,Calderdale,1,3,2,36,2,9
27F0871,405794,424042,2,15/07/2015,1352,6,U,1,1,1,Calderdale,1,3,1,59,2,1
27F1377,407962,423200,2,15/07/2015,1803,3,A6026,1,1,1,Calderdale,1,2,1,54,2,3
27G1925,407570,425894,4,16/07/2015,2255,6,U,1,4,1,Calderdale,1,3,1,32,2,9
27G1925,407570,425894,4,16/07/2015,2255,6,U,1,4,1,Calderdale,2,3,1,19,1,9
27H0281,409714,424153,2,17/07/2015,809,6,U,1,1,1,Calderdale,1,3,2,57,2,9
27H1132,406249,423813,2,17/07/2015,1630,6,U,1,1,1,Calderdale,1,3,1,46,2,9
27I0719,408931,424025,2,17/07/2015,1226,6,U,1,1,1,Calderdale,1,3,2,31,2,9
27K0228,406991,428324,2,20/07/2015,554,3,A629,1,1,1,Calderdale,1,3,1,37,2,3
27M0248,400675,423908,2,22/07/2015,810,4,B6138,1,1,1,Calderdale,1,2,2,41,1,9
27M1226,393434,421357,1,22/07/2015,1738,3,A6033,1,1,1,Calderdale,3,3,2,11,1,9
27O1212,409574,425541,1,24/07/2015,1510,6,U,1,1,1,Calderdale,3,3,2,25,1,9
27O1821,404384,420566,2,24/07/2015,2200,3,A58,1,4,1,Calderdale,1,3,2,39,1,9
27O1946,410087,423162,1,24/07/2015,2315,6,U,1,4,1,Calderdale,3,2,1,24,1,9
27P0681,403870,419702,1,25/07/2015,1224,3,A672,1,1,1,Calderdale,3,3,1,55,1,9
27P1252,407093,426576,1,25/07/2015,1700,6,U,1,1,1,Calderdale,3,2,1,13,1,90
27Q1194,403016,421891,2,26/07/2015,1730,6,U,2,1,2,Calderdale,2,3,1,39,2,9
27R0722,409777,423048,1,27/07/2015,1330,3,A629,2,1,2,Calderdale,1,3,2,17,1,3
27S1060,407962,426706,2,28/07/2015,1636,6,U,1,1,1,Calderdale,1,2,1,18,1,1
27U0264,406637,424817,2,30/07/2015,810,3,A646,2,1,1,Calderdale,1,3,1,58,2,5
27U1220,395318,423535,2,30/07/2015,1740,6,U,1,1,1,Calderdale,1,2,1,30,1,1
27V0575,409103,422512,2,31/07/2015,1225,3,A6026,1,1,1,Calderdale,1,3,1,83,1,9
27V1018,411479,426398,2,31/07/2015,1616,3,A6036,1,1,1,Calderdale,2,2,2,34,1,9
27V1037,407906,425154,2,31/07/2015,1615,6,U,1,1,1,Calderdale,2,3,2,45,2,9
27V1037,407906,425154,2,31/07/2015,1615,6,U,1,1,1,Calderdale,1,3,1,54,2,9
27V1039,405871,423472,2,31/07/2015,1620,3,A58,1,1,1,Calderdale,1,3,1,18,2,3
2830781,399489,427547,2,03/08/2015,1403,3,A6033,1,1,1,Calderdale,1,3,1,58,2,4
2840889,408706,425911,2,04/08/2015,1526,6,U,2,1,2,Calderdale,2,3,2,26,2,9
2861448,408277,426760,2,06/08/2015,1907,6,U,1,1,1,Calderdale,2,3,2,19,2,9
2861555,389815,423826,1,06/08/2015,2005,3,A681,1,1,1,Calderdale,1,3,2,57,1,9
2870383,409735,425742,2,03/08/2015,1425,3,A58,1,1,1,Calderdale,1,3,1,35,1,9
2870992,411810,419745,2,07/08/2015,1525,1,M62,1,1,1,Calderdale,2,3,2,6,1,9
2870992,411810,419745,2,07/08/2015,1525,1,M62,1,1,1,Calderdale,2,3,2,10,2,9
2870992,411810,419745,2,07/08/2015,1525,1,M62,1,1,1,Calderdale,2,3,2,39,2,9
2870992,411810,419745,2,07/08/2015,1525,1,M62,1,1,1,Calderdale,2,3,2,21,2,9
2870992,411810,419745,2,07/08/2015,1525,1,M62,1,1,1,Calderdale,1,3,2,22,2,9
2870992,411810,419745,2,07/08/2015,1525,1,M62,1,1,1,Calderdale,2,3,2,44,1,9
2870992,411810,419745,2,07/08/2015,1525,1,M62,1,1,1,Calderdale,2,3,2,18,2,9
2871699,410552,424410,1,07/08/2015,2120,6,U,1,4,1,Calderdale,3,3,1,44,1,9
2880508,395136,424595,2,08/08/2015,830,3,A646,1,1,1,Calderdale,1,3,1,45,2,1
2881681,409218,425140,1,08/08/2015,145,6,U,1,4,1,Calderdale,3,2,1,22,1,9
2881707,407351,428045,1,08/08/2015,2100,6,U,1,1,1,Calderdale,3,3,2,12,1,9
28B1412,409298,424841,2,11/08/2015,1914,3,A629,1,1,1,Calderdale,1,3,1,66,2,5
28C0277,408013,425778,4,12/08/2015,814,6,U,1,1,1,Calderdale,1,3,1,67,4,9
28D1020,409338,425059,1,13/08/2015,1625,6,U,1,1,1,Calderdale,3,3,1,74,1,11
2.80E+108,413675,423258,1,14/08/2015,209,3,A6025,2,4,2,Calderdale,1,3,1,20,1,4
28E0881,412128,424956,2,14/08/2015,1450,6,U,2,1,2,Calderdale,2,3,2,28,1,9
28E0881,412128,424956,2,14/08/2015,1450,6,U,2,1,2,Calderdale,2,3,1,31,1,9
28F0769,414681,422250,1,15/08/2015,1243,6,U,1,1,1,Calderdale,3,1,1,46,1,9
28G0491,412460,425472,2,16/08/2015,934,3,A58,1,1,1,Calderdale,1,3,1,51,2,9
28H0634,407731,424346,2,17/08/2015,1150,6,U,1,1,1,Calderdale,1,3,2,7,1,1
28H1482,408639,423518,2,17/08/2015,2000,3,A646,1,1,1,Calderdale,1,3,1,20,1,3
28N1469,394988,424541,2,23/08/2015,1900,3,A646,2,1,2,Calderdale,1,3,1,36,2,5
28P0629,414451,422909,2,25/08/2015,1220,6,U,1,1,1,Calderdale,1,3,2,55,1,9
28P0629,414451,422909,2,25/08/2015,1220,6,U,1,1,1,Calderdale,1,3,1,58,2,11
28P0629,414451,422909,2,25/08/2015,1220,6,U,1,1,1,Calderdale,2,3,2,79,2,11
28Q0736,393558,423973,1,26/08/2015,1356,3,A6033,1,1,1,Calderdale,3,3,1,7,1,9
28R0301,412460,425469,2,27/08/2015,730,3,A644,1,1,1,Calderdale,1,3,1,19,2,3
28R1070,407751,424342,1,27/08/2015,1610,6,U,1,1,1,Calderdale,3,3,1,9,1,9
28R1161,406697,428232,2,27/08/2015,1655,6,U,1,1,1,Calderdale,1,3,1,9,1,1
28S0776,389943,426199,2,28/08/2015,1415,3,A646,2,1,1,Calderdale,2,2,2,71,2,9
28S0776,389943,426199,2,28/08/2015,1415,3,A646,2,1,1,Calderdale,1,3,2,47,1,9
28S0776,389943,426199,2,28/08/2015,1415,3,A646,2,1,1,Calderdale,1,3,1,68,2,9
28S0806,391114,426232,2,28/08/2015,1415,3,A646,2,1,1,Calderdale,1,3,2,15,1,1
28S1904,411853,429358,1,28/08/2015,2345,6,U,1,6,1,Calderdale,1,3,1,21,1,9
28S1904,411853,429358,1,28/08/2015,2345,6,U,1,6,1,Calderdale,2,3,1,18,1,9
2931214,407835,418552,2,03/09/2015,1715,6,U,1,1,1,Calderdale,1,3,1,23,2,3
2931221,406105,428677,1,03/09/2015,1837,6,U,1,1,1,Calderdale,1,2,1,19,1,3
2941421,390160,426092,2,01/09/2015,1015,6,U,1,1,1,Calderdale,1,3,1,7,2,1
2960080,408744,423461,1,06/09/2015,50,3,A646,1,4,1,Calderdale,1,3,2,26,1,9
2961362,394257,424274,2,06/09/2015,1849,3,A646,1,1,1,Calderdale,1,2,1,30,2,3
2970250,414469,423807,1,07/09/2015,820,6,U,2,1,1,Calderdale,3,3,1,18,1,9
2990178,414750,423040,2,09/09/2015,655,3,A641,1,1,1,Calderdale,1,3,1,56,2,9
2990214,393505,424580,2,09/09/2015,740,3,A646,1,1,1,Calderdale,1,3,1,56,1,4
2990732,407872,423273,2,09/09/2015,1332,3,A6026,1,1,1,Calderdale,1,3,2,41,2,9
2991390,409486,424905,1,06/09/2015,830,6,U,1,1,1,Calderdale,3,3,1,46,1,9
29A0771,397123,426371,1,10/09/2015,1400,3,A646,1,1,1,Calderdale,1,3,2,53,1,9
29B0975,408604,425247,2,11/09/2015,1510,6,U,1,1,1,Calderdale,1,3,2,35,1,9
29B0975,408604,425247,2,11/09/2015,1510,6,U,1,1,1,Calderdale,1,3,1,63,2,19
29C0373,400932,425740,1,12/09/2015,754,4,B6138,2,1,2,Calderdale,1,3,1,27,1,9
29D0669,394516,419954,2,13/09/2015,1245,3,A6033,1,1,1,Calderdale,1,3,1,68,1,1
29D1357,409375,426327,2,13/09/2015,1924,6,U,1,4,1,Calderdale,1,3,1,23,2,9
29G0253,412523,428842,2,16/09/2015,826,3,A6306,1,1,1,Calderdale,1,3,2,50,1,9
29G0253,412523,428842,2,16/09/2015,826,3,A6306,1,1,1,Calderdale,1,3,2,45,2,9
29G0553,409227,425141,1,16/09/2015,1115,6,U,1,1,1,Calderdale,3,3,2,25,1,9
29G0673,399574,427587,1,16/09/2015,1248,6,U,1,1,1,Calderdale,1,2,1,31,1,1
29G1166,401284,426025,2,16/09/2015,1015,3,A646,1,1,1,Calderdale,1,3,1,25,1,9
29H1507,407908,425242,4,17/09/2015,2015,6,U,1,4,1,Calderdale,1,3,2,32,2,9
29H1507,407908,425242,4,17/09/2015,2015,6,U,1,4,1,Calderdale,1,3,2,56,3,9
29I1110,406854,428036,1,18/09/2015,1640,6,U,1,1,1,Calderdale,3,3,1,44,1,9
29J1059,409429,423652,2,19/09/2015,1550,3,A629,1,1,1,Calderdale,1,3,1,63,2,1
29L1144,410975,420736,2,21/09/2015,1731,6,U,1,1,1,Calderdale,1,3,1,59,1,9
29M0252,411519,421034,2,22/09/2015,830,3,A629,1,1,1,Calderdale,1,3,2,18,2,9
29O0373,410626,421491,2,24/09/2015,1005,6,U,2,1,1,Calderdale,1,3,2,22,2,2
29O1737,407941,424051,2,24/09/2015,2240,3,A646,1,4,1,Calderdale,1,3,2,23,1,9
29O1737,407941,424051,2,24/09/2015,2240,3,A646,1,4,1,Calderdale,1,3,2,46,2,9
29P0272,406838,426163,1,25/09/2015,805,6,U,1,1,1,Calderdale,3,3,1,11,1,9
29P0647,409732,423200,2,25/09/2015,1226,3,A629,1,1,1,Calderdale,2,3,2,47,2,9
29R0467,414952,425178,2,27/09/2015,825,3,A641,1,1,1,Calderdale,1,3,2,55,2,9
29R0998,411178,422039,2,27/09/2015,1500,6,U,1,1,1,Calderdale,1,3,1,50,1,1
29R1708,394147,424226,2,27/09/2015,1710,3,A646,1,1,1,Calderdale,1,3,1,20,1,9
29S0429,409586,422358,1,28/09/2015,1023,3,A6026,1,1,1,Calderdale,3,2,1,61,1,11
29S1054,393694,424618,2,28/09/2015,1608,6,U,1,1,1,Calderdale,3,3,1,16,2,9
29S1493,394500,424439,1,28/09/2015,950,3,A646,1,1,1,Calderdale,2,3,1,78,1,11
29T1467,407570,425894,2,29/09/2015,2005,6,U,1,4,1,Calderdale,2,3,2,47,1,9
29U0988,408624,424752,1,30/09/2015,1541,3,A58,1,1,1,Calderdale,3,2,1,10,1,9
2A11124,410746,420329,2,01/10/2015,1640,6,U,1,1,1,Calderdale,1,3,2,25,1,9
2A11124,410746,420329,2,01/10/2015,1640,6,U,1,1,1,Calderdale,2,3,2,29,1,9
2A11329,414657,422374,1,01/10/2015,1830,6,U,1,1,1,Calderdale,3,3,2,5,1,9
2A20628,413121,421451,1,02/10/2015,1209,6,U,1,1,1,Calderdale,3,2,1,1,1,9
2A21119,400165,418782,2,02/10/2015,1620,3,A58,1,1,1,Calderdale,1,3,1,35,1,5
2A21119,400165,418782,2,02/10/2015,1620,3,A58,1,1,1,Calderdale,1,3,1,36,2,9
2A31319,408139,427277,2,03/10/2015,1825,6,U,1,1,1,Calderdale,1,3,1,6,1,1
2A40415,411096,420724,1,02/10/2015,2115,6,U,1,4,1,Calderdale,3,3,1,63,1,9
2A40448,406517,425260,4,04/10/2015,740,6,U,1,1,1,Calderdale,1,3,1,24,1,9
2A41240,403457,418490,2,04/10/2015,1240,3,A672,1,1,1,Calderdale,1,3,1,27,2,9
2A50544,393904,424181,3,05/10/2015,1230,3,A646,1,1,1,Calderdale,1,3,1,53,2,9
2A50544,393904,424181,3,05/10/2015,1230,3,A646,1,1,1,Calderdale,2,3,1,19,2,9
2A61502,409030,426280,2,06/10/2015,1945,6,U,1,4,1,Calderdale,1,3,1,16,1,1
2A70194,409317,424309,2,07/10/2015,655,3,A629,2,4,2,Calderdale,1,3,1,28,1,1
2A91207,393212,425143,1,09/10/2015,1700,6,U,1,1,1,Calderdale,3,3,1,5,1,9
2AA0751,411654,419903,2,10/10/2015,1219,3,A629,1,1,1,Calderdale,1,3,2,32,1,9
2AA0751,411654,419903,2,10/10/2015,1219,3,A629,1,1,1,Calderdale,1,3,1,41,2,9
2AA1057,407533,425476,1,10/10/2015,1527,6,U,1,1,1,Calderdale,3,2,2,13,1,9
2AB1338,414041,422928,2,11/10/2015,1933,3,A6025,1,4,1,Calderdale,1,2,1,26,1,9
2AB1338,414041,422928,2,11/10/2015,1933,3,A6025,1,4,1,Calderdale,1,2,1,19,2,9
2AC0244,411193,426086,2,12/10/2015,741,2,A6036(M),1,1,1,Calderdale,1,2,1,37,1,5
2AC1041,408825,421362,1,12/10/2015,1618,6,U,1,1,1,Calderdale,3,3,1,7,1,9
2AD0795,400357,426509,2,13/10/2015,1409,3,A646,1,1,1,Calderdale,1,3,2,59,1,9
2AE0545,408074,424327,2,14/10/2015,1145,3,A58,1,1,1,Calderdale,1,3,2,54,1,9
2AE0545,408074,424327,2,14/10/2015,1145,3,A58,1,1,1,Calderdale,1,2,1,83,2,9
2AF0791,411842,429373,2,15/10/2015,1422,6,U,1,1,1,Calderdale,1,3,1,28,2,9
2AG1087,408600,426128,2,16/10/2015,1620,6,U,1,1,1,Calderdale,1,3,1,47,1,18
2AG1087,408600,426128,2,16/10/2015,1620,6,U,1,1,1,Calderdale,2,3,1,9,1,18
2AG1087,408600,426128,2,16/10/2015,1620,6,U,1,1,1,Calderdale,2,3,2,10,1,18
2AG1087,408600,426128,2,16/10/2015,1620,6,U,1,1,1,Calderdale,1,3,1,41,2,9
2AH0575,407331,428841,3,17/10/2015,1045,6,U,1,1,1,Calderdale,1,3,1,19,1,9
2AI0448,407818,424185,2,18/10/2015,754,3,A58,2,1,1,Calderdale,1,3,1,43,2,9
2AJ1642,407590,425128,2,19/10/2015,2058,6,U,1,4,1,Calderdale,1,2,2,21,1,9
2AJ1642,407590,425128,2,19/10/2015,2058,6,U,1,4,1,Calderdale,1,3,1,49,2,9
2AJ1642,407590,425128,2,19/10/2015,2058,6,U,1,4,1,Calderdale,2,3,2,12,2,9
2AK1391,414903,422747,1,20/10/2015,1716,6,U,1,1,1,Calderdale,3,3,2,18,1,21
2AL1310,414096,425324,2,21/10/2015,1810,3,A649,1,4,1,Calderdale,1,3,1,31,2,3
2AP0745,409966,425681,2,25/10/2015,1210,3,A58,1,1,1,Calderdale,1,3,1,54,1,9
2AP0745,409966,425681,2,25/10/2015,1210,3,A58,1,1,1,Calderdale,1,3,1,25,2,9
2AR0645,398141,427484,2,27/10/2015,1250,6,U,2,1,1,Calderdale,1,3,1,30,1,9
2AS0308,417030,423381,2,28/10/2015,940,1,M62,1,1,2,Calderdale,2,3,2,8,1,9
2AS0308,417030,423381,2,28/10/2015,940,1,M62,1,1,2,Calderdale,2,3,2,13,1,9
2AT0393,410689,421266,2,29/10/2015,1000,6,U,2,1,4,Calderdale,1,3,2,42,2,9
2B10422,407385,426890,1,01/11/2015,415,6,U,2,4,7,Calderdale,1,3,1,29,1,9
2B10422,407385,426890,1,01/11/2015,415,6,U,2,4,7,Calderdale,2,3,2,36,1,9
2B10422,407385,426890,1,01/11/2015,415,6,U,2,4,7,Calderdale,2,3,1,27,1,9
2B10422,407385,426890,1,01/11/2015,415,6,U,2,4,7,Calderdale,2,3,2,23,1,9
2B10986,399190,427220,2,01/11/2015,1337,6,U,1,1,1,Calderdale,1,2,1,44,1,1
2B40460,393880,424177,2,04/11/2015,1115,3,A646,1,1,1,Calderdale,1,3,2,26,2,1
2B41451,392921,425009,2,04/11/2015,1906,3,A646,2,1,1,Calderdale,1,2,2,42,2,1
2B51334,393408,423812,1,05/11/2015,1755,2,A6033(M),2,4,7,Calderdale,3,3,2,19,1,9
2B61021,409230,425282,1,05/11/2015,1930,6,U,2,4,2,Calderdale,3,2,1,28,1,9
2B70753,409649,424985,1,07/11/2015,1210,6,U,2,1,1,Calderdale,3,3,1,63,1,9
2B70917,411942,427056,2,07/11/2015,1355,6,U,1,1,1,Calderdale,1,3,1,17,1,2
2B71105,407914,424885,2,07/11/2015,1558,6,U,2,1,1,Calderdale,1,3,1,36,2,9
2B71822,393599,424095,1,07/11/2015,2230,6,U,2,4,1,Calderdale,3,3,2,27,1,9
2B80813,414062,426264,1,08/11/2015,1344,3,A58,1,1,1,Calderdale,3,3,2,76,1,9
2B80813,414062,426264,1,08/11/2015,1344,3,A58,1,1,1,Calderdale,1,3,2,29,1,9
2B81223,417049,422942,1,08/11/2015,1740,1,M62,2,4,5,Calderdale,1,3,2,27,1,9
2B90662,409581,421143,2,06/11/2015,1715,4,B6112,1,4,1,Calderdale,1,3,2,43,2,9
2B91189,405835,423431,2,09/11/2015,1745,6,U,2,4,1,Calderdale,1,3,2,24,2,9
2B91241,409408,423826,1,09/11/2015,1811,3,A629,2,4,4,Calderdale,1,3,1,42,1,3
2B91241,409408,423826,1,09/11/2015,1811,3,A629,2,4,4,Calderdale,3,3,1,25,1,3
2BA0321,412727,425665,1,10/11/2015,1510,6,U,2,1,2,Calderdale,3,3,2,15,1,9
2BA0416,409944,422932,2,10/11/2015,946,6,U,1,1,1,Calderdale,1,3,1,31,2,9
2BB1300,411114,420693,1,07/11/2015,1200,6,U,2,1,1,Calderdale,3,3,2,87,1,9
2BD0210,394520,419630,2,13/11/2015,647,3,A6033,2,4,2,Calderdale,1,3,2,36,2,3
2BD0847,409788,425724,2,13/11/2015,1420,3,A58,2,1,2,Calderdale,1,3,2,30,2,9
2BD1039,410001,423498,1,13/11/2015,1550,6,U,2,1,5,Calderdale,3,3,1,15,1,19
2BD1319,403871,419683,1,13/11/2015,1500,3,A672,2,1,5,Calderdale,3,3,1,23,1,9
2BE1041,413249,420681,2,14/11/2015,1559,3,A643,2,1,2,Calderdale,1,3,2,31,1,9
2BE1546,417022,422853,1,14/11/2015,2100,1,M62,2,4,2,Calderdale,2,3,2,61,1,9
2BE1573,407473,426940,1,14/11/2015,2117,6,U,2,4,1,Calderdale,3,3,1,17,1,9
2BE1573,407473,426940,1,14/11/2015,2117,6,U,2,4,1,Calderdale,3,3,2,17,1,9
2BE1744,417039,422907,2,14/11/2015,2320,1,M62,2,4,5,Calderdale,2,3,2,64,1,9
2BE1744,417039,422907,2,14/11/2015,2320,1,M62,2,4,5,Calderdale,1,3,1,20,2,9
2BE1744,417039,422907,2,14/11/2015,2320,1,M62,2,4,5,Calderdale,1,3,1,55,1,9
2BI1368,411452,419710,2,18/11/2015,1911,3,A639,2,4,4,Calderdale,1,3,2,52,1,9
2BJ0160,409527,424569,2,19/11/2015,610,6,U,1,4,1,Calderdale,1,3,1,38,1,9
2BJ0160,409527,424569,2,19/11/2015,610,6,U,1,4,1,Calderdale,1,3,1,49,2,9
2BJ0634,407081,428610,2,18/11/2015,1215,6,U,2,1,2,Calderdale,1,3,1,49,1,9
2BJ0965,402761,415948,3,19/11/2015,1605,1,M62,2,4,5,Calderdale,1,3,2,20,1,9
2BJ0965,402761,415948,3,19/11/2015,1605,1,M62,2,4,5,Calderdale,1,3,2,24,2,9
2BK0431,407980,424468,1,20/11/2015,1014,6,U,2,1,2,Calderdale,3,3,2,19,1,9
2BK0807,409202,422715,2,20/11/2015,1356,6,U,2,1,1,Calderdale,1,2,1,88,1,9
2BM1136,392863,424889,1,22/11/2015,1136,6,U,1,6,1,Calderdale,2,3,1,20,1,9
2BM1136,392863,424889,1,22/11/2015,1136,6,U,1,6,1,Calderdale,1,3,1,20,1,9
2BM1400,406051,423500,1,22/11/2015,2117,6,U,2,4,1,Calderdale,1,2,1,18,1,9
2BM1400,406051,423500,1,22/11/2015,2117,6,U,2,4,1,Calderdale,2,3,2,15,1,9
2BM1400,406051,423500,1,22/11/2015,2117,6,U,2,4,1,Calderdale,2,3,2,15,1,9
2BN0839,403904,426260,3,23/11/2015,1454,6,U,2,1,1,Calderdale,3,2,1,58,2,9
2BO0407,410725,426267,1,24/11/2015,1030,3,A58,2,1,1,Calderdale,1,2,1,23,1,4
2BO0904,406791,423840,1,24/11/2015,1539,3,A6026,2,1,1,Calderdale,3,3,2,7,1,9
2BP0196,414952,422734,2,25/11/2015,700,6,U,2,1,1,Calderdale,1,3,1,31,2,9
2BP0196,414952,422734,2,25/11/2015,700,6,U,2,1,1,Calderdale,2,3,2,33,1,8
2BP0586,414514,422643,1,25/11/2015,1145,6,U,1,1,1,Calderdale,3,3,1,54,1,9
2BQ1103,407447,425124,2,26/11/2015,1645,6,U,2,4,1,Calderdale,1,3,1,22,2,9
2BR1051,416989,422761,3,27/11/2015,1630,1,M62,2,4,1,Calderdale,1,3,1,43,1,9
2BR1658,403426,425487,3,27/11/2015,1800,3,A646,2,4,2,Calderdale,1,3,2,27,2,9
2BT0423,409968,425679,2,29/11/2015,731,6,U,2,1,2,Calderdale,1,3,1,30,1,8
2BT0480,409458,423497,2,29/11/2015,902,3,A629,2,1,5,Calderdale,1,3,1,29,1,9
2BU0203,412398,425759,2,30/11/2015,730,3,A644,2,1,1,Calderdale,1,2,1,18,2,4
2BU0757,407246,425190,1,09/11/2015,1700,6,U,2,4,1,Calderdale,3,3,1,66,1,10
2BU1055,410878,429253,2,30/11/2015,1700,3,A644,2,4,2,Calderdale,1,2,1,49,1,5
2C20198,406729,427821,2,02/12/2015,630,6,U,2,4,1,Calderdale,1,3,1,64,2,9
2C31216,414980,422797,1,03/12/2015,1745,6,U,2,4,2,Calderdale,3,3,1,43,1,9
2C31277,409941,421091,3,03/12/2015,1826,4,B6113,2,4,2,Calderdale,1,3,1,54,2,9
2C31277,409941,421091,3,03/12/2015,1826,4,B6113,2,4,2,Calderdale,1,3,2,45,3,9
2C50809,408901,425758,3,05/12/2015,1322,3,A629,2,1,5,Calderdale,2,3,1,47,2,9
2C50809,408901,425758,3,05/12/2015,1322,3,A629,2,1,5,Calderdale,2,3,1,24,2,9
2C50809,408901,425758,3,05/12/2015,1322,3,A629,2,1,5,Calderdale,1,3,1,49,2,9
2C50809,408901,425758,3,05/12/2015,1322,3,A629,2,1,5,Calderdale,2,3,1,3,2,9
2C60988,404923,428729,2,06/12/2015,1600,6,U,1,1,1,Calderdale,1,3,2,40,2,16
2C81352,404106,416651,2,08/12/2015,1915,1,M62,2,4,5,Calderdale,1,3,1,62,1,21
2C90251,406632,424811,2,09/12/2015,854,3,A646,1,1,1,Calderdale,1,3,2,27,2,9
2C90251,406632,424811,2,09/12/2015,854,3,A646,1,1,1,Calderdale,1,3,1,43,1,9
2C90251,406632,424811,2,09/12/2015,854,3,A646,1,1,1,Calderdale,2,3,2,18,1,9
2CA0938,409545,421042,1,10/12/2015,1530,6,U,1,1,1,Calderdale,3,3,2,14,1,9
