Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
22E1383,405153,422840,4,14/02/2015,2030,3,A58,2,4,1,Calderdale,2,3,2,52,4,9
22E1383,405153,422840,4,14/02/2015,2030,3,A58,2,4,1,Calderdale,2,3,2,14,4,9
22E1383,405153,422840,4,14/02/2015,2030,3,A58,2,4,1,Calderdale,2,3,2,14,4,9
22E1383,405153,422840,4,14/02/2015,2030,3,A58,2,4,1,Calderdale,2,3,1,15,4,9
22G0450,393765,424154,2,16/02/2015,1030,3,A646,1,1,1,Calderdale,1,3,1,68,2,9
22G0666,416477,422070,2,16/02/2015,1239,3,A644,1,1,1,Calderdale,1,3,2,34,2,9
22G1460,416810,422464,2,16/02/2015,1915,1,M62,1,4,1,Calderdale,1,3,2,47,2,9
22H0947,409797,423091,2,17/02/2015,1555,3,A629,1,1,1,Calderdale,1,3,1,29,1,3
22I0851,401292,425693,1,18/02/2015,1505,6,U,1,1,1,Calderdale,3,3,2,76,1,9
22I1268,408563,424435,2,18/02/2015,1820,6,U,1,4,1,Calderdale,1,3,2,39,2,9
22L0767,409437,425360,1,21/02/2015,1335,6,U,1,1,1,Calderdale,3,2,2,76,1,9
22P0209,409097,424849,2,25/02/2015,815,6,U,1,1,1,Calderdale,1,3,2,36,1,9
22R0295,416389,422225,2,27/02/2015,840,3,A644,1,1,1,Calderdale,1,3,1,45,1,9
22R0295,416389,422225,2,27/02/2015,840,3,A644,1,1,1,Calderdale,1,3,2,45,2,9
22R0913,407109,424850,2,27/02/2015,1515,6,U,1,1,1,Calderdale,1,3,1,48,2,9
22R1618,390420,426307,3,27/02/2015,2120,3,A646,1,7,1,Calderdale,1,3,2,45,1,9
22S1225,393943,420818,1,28/02/2015,1654,3,A6033,2,1,2,Calderdale,1,3,1,22,1,9
22S1225,393943,420818,1,28/02/2015,1654,3,A6033,2,1,2,Calderdale,2,3,2,14,1,9
2320177,407754,429046,3,02/03/2015,740,6,U,4,1,6,Calderdale,3,3,2,42,3,9
2320217,409468,421020,2,27/02/2015,1700,4,B6112,1,1,1,Calderdale,1,3,2,58,1,9
2350238,405764,423328,2,05/03/2015,725,3,A58,1,1,1,Calderdale,1,3,1,27,2,1
2360971,407721,426578,3,06/03/2015,1526,6,U,1,1,1,Calderdale,2,3,2,5,3,9
2371002,394207,424240,1,07/03/2015,1500,3,A646,1,1,1,Calderdale,3,2,2,61,1,9
2371328,412979,421509,1,07/03/2015,1741,6,U,1,4,1,Calderdale,3,3,1,9,1,9
2371790,409612,423295,2,07/03/2015,2153,3,A629,1,4,1,Calderdale,2,2,2,25,2,9
2381170,409671,425748,2,08/03/2015,1610,6,U,1,1,1,Calderdale,1,3,2,57,1,9
2390418,414768,422928,1,09/03/2015,940,6,U,1,1,1,Calderdale,3,3,2,70,1,9
23A0176,412059,425530,2,10/03/2015,713,3,A58,1,1,1,Calderdale,1,3,1,42,2,3
23A0573,393599,424490,3,10/03/2015,1154,3,A646,1,1,1,Calderdale,1,2,1,82,1,9
23A0752,411182,423437,1,10/03/2015,1350,6,U,1,1,1,Calderdale,3,3,1,20,1,9
23A1212,408854,421060,1,02/03/2015,1515,4,B6114,2,1,1,Calderdale,3,3,2,29,1,9
23B0647,389882,426267,2,11/03/2015,1245,3,A646,2,1,2,Calderdale,1,3,2,51,1,9
23D0284,411592,419660,3,13/03/2015,845,1,M62,2,1,1,Calderdale,1,3,2,23,2,9
23D0328,414729,423054,2,13/03/2015,855,3,A641,2,1,2,Calderdale,2,3,2,10,1,9
23D1711,407113,428420,2,13/03/2015,1645,3,A629,1,1,1,Calderdale,2,3,1,10,1,9
23F0512,411450,426355,1,15/03/2015,1115,3,A6036,1,1,1,Calderdale,1,3,1,49,1,1
23F0637,409707,420135,2,15/03/2015,1251,6,U,1,1,1,Calderdale,1,3,2,32,1,9
23F0637,409707,420135,2,15/03/2015,1251,6,U,1,1,1,Calderdale,2,3,1,4,1,9
23F1417,393771,424158,2,15/03/2015,2100,3,A646,2,4,2,Calderdale,3,1,1,48,1,9
23G0437,417028,422950,2,16/03/2015,1030,1,M62,1,1,1,Calderdale,1,3,2,34,2,9
23I1431,409497,425438,1,18/03/2015,1910,6,U,1,4,1,Calderdale,3,3,2,18,1,9
23K0271,405654,427408,2,20/03/2015,857,6,U,1,1,1,Calderdale,1,2,1,22,1,4
23K0271,405654,427408,2,20/03/2015,857,6,U,1,1,1,Calderdale,1,3,2,36,2,9
